year,exchange_rate_lcu_per_usd,gdp_growth_pct,gdp_per_capita_constant_2015_usd,gdp_per_capita_ppp_constant_2021_intl_usd,gdp_ppp_constant_2021_intl_usd,gross_savings_pct_gdp,inflation_cpi_pct,investment_pct_gdp,unemployment_pct,fiscal_balance_pct_gdp,government_debt_pct_gdp,government_expenditure_pct_gdp,government_revenue_pct_gdp,primary_balance_pct_gdp,net_interest_payments_pct_gdp,current_account_balance_pct_gdp,exports_growth_pct,exports_pct_gdp,external_debt_pct_gni,external_debt_service_pct_exports,external_debt_stocks_current_usd,fdi_net_inflows_pct_gdp,imports_pct_gdp,reserves_months_imports,reserves_pct_external_debt,short_term_debt_pct_reserves,trade_openness_pct_gdp,bank_npl_pct_gross_loans,real_interest_rate_pct,control_of_corruption_estimate,government_effectiveness_estimate,political_stability_estimate,regulatory_quality_estimate,rule_of_law_estimate,voice_accountability_estimate,electoral_democracy_index,head_of_government,head_of_government_tenure_years,average_government_duration_since_2000,government_change_dummy,government_changes_previous_5y,global_competitiveness_index,fragile_states_index,battle_related_deaths,armed_conflict_dummy,log_battle_related_deaths,sovereign_debt_in_default_usd_mn,sovereign_default_dummy,default_previous_5y,default_previous_10y,years_since_last_default,never_default_history_dummy
2000,1.0,1.0,2.0,5.0,5.0,16.0,11.0,7.000000000000001,4.0,9.0,11.0,9.0,8.0,12.0,12.0,13.0,15.0,8.0,60.0,62.0,60.0,5.0,8.0,14.000000000000002,62.0,62.0,8.0,100.0,39.0,2.0,2.0,2.0,2.0,1.0,1.0,7.000000000000001,38.0,38.0,38.0,7.000000000000001,7.000000000000001,100.0,100.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.9708737864077669,0.9708737864077669,1.9417475728155338,4.854368932038835,4.854368932038835,18.446601941747574,9.70873786407767,6.796116504854369,3.8834951456310676,5.825242718446602,5.825242718446602,5.825242718446602,4.854368932038835,8.737864077669903,8.737864077669903,14.563106796116504,12.62135922330097,7.766990291262135,58.252427184466015,61.165048543689316,58.252427184466015,4.854368932038835,7.766990291262135,15.53398058252427,61.165048543689316,61.165048543689316,7.766990291262135,99.02912621359224,37.86407766990291,100.0,100.0,100.0,100.0,100.0,100.0,6.796116504854369,39.80582524271845,39.80582524271845,37.86407766990291,6.796116504854369,6.796116504854369,100.0,100.0,88.3495145631068,88.3495145631068,88.3495145631068,0.0,0.0,0.0,0.0,0.0,0.0
2002,1.8518518518518516,0.9259259259259258,1.8518518518518516,4.62962962962963,4.62962962962963,17.59259259259259,10.185185185185185,8.333333333333332,3.7037037037037033,4.62962962962963,4.62962962962963,4.62962962962963,4.62962962962963,7.4074074074074066,7.4074074074074066,12.037037037037036,13.88888888888889,8.333333333333332,55.55555555555556,57.407407407407405,55.55555555555556,3.7037037037037033,8.333333333333332,12.962962962962962,58.333333333333336,58.333333333333336,8.333333333333332,99.07407407407408,39.81481481481482,1.8518518518518516,1.8518518518518516,1.8518518518518516,1.8518518518518516,0.9259259259259258,0.9259259259259258,6.481481481481481,38.88888888888889,38.88888888888889,38.88888888888889,6.481481481481481,6.481481481481481,100.0,100.0,91.66666666666666,91.66666666666666,91.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0
2003,1.7699115044247788,0.8849557522123894,1.7699115044247788,4.424778761061947,4.424778761061947,17.699115044247787,10.619469026548673,8.849557522123893,3.5398230088495577,4.424778761061947,4.424778761061947,4.424778761061947,4.424778761061947,7.079646017699115,7.079646017699115,12.389380530973451,14.15929203539823,8.849557522123893,53.98230088495575,54.86725663716814,53.98230088495575,3.5398230088495577,8.849557522123893,15.04424778761062,59.29203539823009,59.29203539823009,8.849557522123893,97.34513274336283,40.707964601769916,1.7699115044247788,1.7699115044247788,0.8849557522123894,1.7699115044247788,0.8849557522123894,0.8849557522123894,6.1946902654867255,38.93805309734513,38.93805309734513,38.93805309734513,6.1946902654867255,6.1946902654867255,100.0,100.0,91.1504424778761,91.1504424778761,91.1504424778761,0.0,0.0,0.0,0.0,0.0,0.0
2004,1.680672268907563,0.8403361344537815,1.680672268907563,4.201680672268908,4.201680672268908,17.647058823529413,9.243697478991598,8.403361344537815,3.361344537815126,3.361344537815126,4.201680672268908,3.361344537815126,3.361344537815126,5.88235294117647,5.88235294117647,12.605042016806722,14.285714285714285,8.403361344537815,52.10084033613446,54.621848739495796,52.10084033613446,4.201680672268908,8.403361344537815,15.126050420168067,57.98319327731093,57.98319327731093,8.403361344537815,97.47899159663865,36.134453781512605,1.680672268907563,1.680672268907563,0.8403361344537815,1.680672268907563,0.8403361344537815,0.8403361344537815,5.88235294117647,39.49579831932773,39.49579831932773,39.49579831932773,5.88235294117647,5.88235294117647,100.0,100.0,89.91596638655463,89.91596638655463,89.91596638655463,0.0,0.0,0.0,0.0,0.0,0.0
2005,1.639344262295082,0.819672131147541,1.639344262295082,4.098360655737705,4.098360655737705,16.39344262295082,8.19672131147541,9.836065573770492,3.278688524590164,3.278688524590164,4.098360655737705,3.278688524590164,3.278688524590164,4.918032786885246,4.918032786885246,9.01639344262295,14.754098360655737,9.836065573770492,51.63934426229508,53.278688524590166,50.81967213114754,4.098360655737705,9.836065573770492,12.295081967213115,56.557377049180324,56.557377049180324,9.836065573770492,79.50819672131148,31.147540983606557,1.639344262295082,1.639344262295082,0.819672131147541,1.639344262295082,0.819672131147541,0.819672131147541,5.737704918032787,39.34426229508197,39.34426229508197,39.34426229508197,5.737704918032787,5.737704918032787,100.0,100.0,86.88524590163934,86.88524590163934,86.88524590163934,0.0,0.0,0.0,0.0,0.0,0.0
2006,1.550387596899225,0.7751937984496124,0.7751937984496124,3.10077519379845,3.10077519379845,16.27906976744186,6.976744186046512,9.30232558139535,3.10077519379845,3.10077519379845,3.10077519379845,3.10077519379845,3.10077519379845,4.651162790697675,4.651162790697675,9.30232558139535,15.503875968992247,9.30232558139535,48.837209302325576,51.162790697674424,48.06201550387597,3.10077519379845,9.30232558139535,12.4031007751938,52.71317829457365,52.71317829457365,9.30232558139535,77.51937984496125,30.23255813953488,1.550387596899225,1.550387596899225,0.7751937984496124,1.550387596899225,0.7751937984496124,0.7751937984496124,6.2015503875969,38.759689922480625,38.759689922480625,38.759689922480625,6.2015503875969,6.2015503875969,100.0,17.05426356589147,89.92248062015504,89.92248062015504,89.92248062015504,0.0,0.0,0.0,0.0,0.0,0.0
2007,1.5384615384615385,0.0,0.7692307692307693,3.076923076923077,3.076923076923077,13.076923076923078,6.923076923076923,7.6923076923076925,3.076923076923077,3.076923076923077,3.076923076923077,3.076923076923077,3.076923076923077,4.615384615384616,4.615384615384616,7.6923076923076925,15.384615384615385,8.461538461538462,48.46153846153846,49.23076923076923,47.69230769230769,2.307692307692308,8.461538461538462,10.76923076923077,52.307692307692314,52.307692307692314,8.461538461538462,73.07692307692307,30.76923076923077,1.5384615384615385,1.5384615384615385,0.7692307692307693,1.5384615384615385,0.7692307692307693,0.7692307692307693,6.153846153846154,39.23076923076923,39.23076923076923,38.46153846153847,6.153846153846154,6.153846153846154,16.923076923076923,6.153846153846154,87.6923076923077,87.6923076923077,87.6923076923077,0.0,0.0,0.0,0.0,0.0,0.0
2008,1.5267175572519083,0.0,0.7633587786259541,3.0534351145038165,3.0534351145038165,13.740458015267176,6.106870229007633,8.396946564885496,3.0534351145038165,3.0534351145038165,3.816793893129771,3.0534351145038165,3.0534351145038165,4.580152671755725,4.580152671755725,7.633587786259542,14.50381679389313,9.16030534351145,48.091603053435115,49.61832061068702,48.091603053435115,2.2900763358778624,9.16030534351145,10.687022900763358,52.67175572519084,52.67175572519084,9.16030534351145,53.43511450381679,29.770992366412212,1.5267175572519083,1.5267175572519083,0.7633587786259541,1.5267175572519083,0.7633587786259541,0.7633587786259541,6.106870229007633,37.404580152671755,37.404580152671755,37.404580152671755,6.106870229007633,6.106870229007633,15.267175572519085,6.106870229007633,87.78625954198473,87.78625954198473,87.78625954198473,0.0,0.0,0.0,0.0,0.0,0.0
2009,2.2058823529411766,0.0,0.7352941176470588,2.941176470588235,2.941176470588235,13.970588235294118,5.147058823529411,8.823529411764707,5.147058823529411,2.941176470588235,3.6764705882352944,2.941176470588235,2.941176470588235,4.411764705882353,4.411764705882353,8.088235294117647,15.441176470588236,9.558823529411764,48.529411764705884,50.0,48.529411764705884,2.941176470588235,9.558823529411764,11.029411764705882,52.94117647058824,52.94117647058824,9.558823529411764,47.05882352941176,29.411764705882355,2.2058823529411766,2.2058823529411766,1.4705882352941175,2.2058823529411766,1.4705882352941175,1.4705882352941175,7.352941176470589,38.970588235294116,38.970588235294116,38.970588235294116,7.352941176470589,7.352941176470589,17.647058823529413,7.352941176470589,88.97058823529412,88.97058823529412,88.97058823529412,0.0,0.0,0.0,0.0,0.0,0.0
