variable,dtype,unique_values,missing_full,missing_full_pct,missing_model_sample,missing_model_sample_pct,constant_variable,infinite_values,missing_group,first_year_available,last_year_available,available_rows,available_pct
log_battle_related_deaths,float64,540,4617,85.10599078341014,2942,85.67268491555038,False,0,Más del 40 %,2000,2024,492,14.327315084449621
battle_related_deaths,float64,540,4617,85.10599078341014,2942,85.67268491555038,False,0,Más del 40 %,2000,2024,492,14.327315084449621
armed_conflict_dummy,float64,2,4617,85.10599078341014,2942,85.67268491555038,False,0,Más del 40 %,2000,2024,492,14.327315084449621
global_competitiveness_index,float64,290,3912,72.11059907834101,2132,62.085032032615025,False,0,Más del 40 %,2007,2017,1302,37.914967967384975
reserves_pct_external_debt,float64,2613,2812,51.834101382488484,1807,52.62085032032615,False,0,Más del 40 %,2000,2024,1627,47.37914967967385
short_term_debt_pct_reserves,float64,2551,2812,51.834101382488484,1807,52.62085032032615,False,0,Más del 40 %,2000,2024,1627,47.37914967967385
external_debt_service_pct_exports,float64,2748,2677,49.345622119815665,1670,48.631333721607454,False,0,Más del 40 %,2000,2024,1764,51.36866627839255
external_debt_pct_gni,float64,2916,2509,46.24884792626728,1634,47.582993593477,False,0,Más del 40 %,2000,2024,1800,52.417006406523
external_debt_stocks_current_usd,float64,2958,2467,45.474654377880185,1628,47.40827023878859,False,0,Más del 40 %,2000,2024,1806,52.59172976121141
bank_npl_pct_gross_loans,float64,2260,3158,58.211981566820285,1536,44.729178800232965,False,0,Más del 40 %,2001,2024,1898,55.27082119976704
head_of_government,str,826,2583,47.612903225806456,1360,39.603960396039604,False,0,20-40 %,2000,2024,2074,60.396039603960396
head_of_government_tenure_years,float64,23,2583,47.612903225806456,1360,39.603960396039604,False,0,20-40 %,2000,2024,2074,60.396039603960396
average_government_duration_since_2000,float64,154,2489,45.88018433179724,1320,38.439138031450206,False,0,20-40 %,2000,2024,2114,61.560861968549794
real_interest_rate_pct,float64,3067,2358,43.465437788018434,1274,37.09959231217239,False,0,20-40 %,2000,2024,2160,62.90040768782761
fragile_states_index,float64,1342,2270,41.84331797235023,1030,29.994175888177054,False,0,20-40 %,2006,2023,2404,70.00582411182295
gross_savings_pct_gdp,float64,3827,1598,29.456221198156683,503,14.647641234711706,False,0,10-20 %,2000,2024,2931,85.3523587652883
exports_growth_pct,float64,3992,1427,26.304147465437786,492,14.327315084449621,False,0,10-20 %,2000,2024,2942,85.67268491555038
reserves_months_imports,float64,4002,1423,26.23041474654378,430,12.52184041933605,False,0,10-20 %,2000,2024,3004,87.47815958066396
exports_pct_gdp,float64,4439,975,17.972350230414747,309,8.998252766453115,False,0,0-10 %,2000,2024,3125,91.00174723354688
investment_pct_gdp,float64,4250,1152,21.235023041474655,309,8.998252766453115,False,0,0-10 %,2000,2024,3125,91.00174723354688
trade_openness_pct_gdp,float64,4439,975,17.972350230414747,309,8.998252766453115,False,0,0-10 %,2000,2024,3125,91.00174723354688
imports_pct_gdp,float64,4439,975,17.972350230414747,309,8.998252766453115,False,0,0-10 %,2000,2024,3125,91.00174723354688
current_account_balance_pct_gdp,float64,4415,1010,18.617511520737327,288,8.38672102504368,False,0,0-10 %,2000,2024,3146,91.61327897495632
inflation_cpi_pct,float64,4519,906,16.70046082949309,253,7.367501456027956,False,0,0-10 %,2000,2024,3181,92.63249854397205
government_changes_previous_5y,float64,6,1061,19.557603686635943,251,7.309260337798486,False,0,0-10 %,2000,2024,3183,92.69073966220151
government_change_dummy,float64,2,1061,19.557603686635943,251,7.309260337798486,False,0,0-10 %,2000,2024,3183,92.69073966220151
electoral_democracy_index,float64,848,1061,19.557603686635943,251,7.309260337798486,False,0,0-10 %,2000,2024,3183,92.69073966220151
net_interest_payments_pct_gdp,float64,4491,842,15.520737327188941,179,5.212580081537565,False,0,0-10 %,2000,2024,3255,94.78741991846243
primary_balance_pct_gdp,float64,4583,842,15.520737327188941,179,5.212580081537565,False,0,0-10 %,2000,2024,3255,94.78741991846243
unemployment_pct,float64,3937,759,13.990783410138249,166,4.8340128130460105,False,0,0-10 %,2000,2024,3268,95.165987186954
control_of_corruption_estimate,float64,4685,617,11.373271889400922,157,4.571927781013396,False,0,0-10 %,2000,2024,3277,95.4280722189866
regulatory_quality_estimate,float64,4721,644,11.870967741935484,157,4.571927781013396,False,0,0-10 %,2000,2024,3277,95.4280722189866
government_effectiveness_estimate,float64,4614,643,11.852534562211982,157,4.571927781013396,False,0,0-10 %,2000,2024,3277,95.4280722189866
voice_accountability_estimate,float64,4820,561,10.341013824884794,150,4.368083867210251,False,0,0-10 %,2000,2024,3284,95.63191613278975
political_stability_estimate,float64,4743,567,10.451612903225808,145,4.222481071636575,False,0,0-10 %,2000,2024,3289,95.77751892836342
government_debt_pct_gdp,float64,4592,792,14.599078341013824,143,4.1642399534071055,False,0,0-10 %,2000,2024,3291,95.8357600465929
rule_of_law_estimate,float64,4797,546,10.064516129032258,143,4.1642399534071055,False,0,0-10 %,2000,2024,3291,95.8357600465929
fiscal_balance_pct_gdp,float64,4714,711,13.105990783410137,122,3.5527082119976705,False,0,0-10 %,2000,2024,3312,96.44729178800233
government_expenditure_pct_gdp,float64,4714,711,13.105990783410137,122,3.5527082119976705,False,0,0-10 %,2000,2024,3312,96.44729178800233
government_revenue_pct_gdp,float64,4739,686,12.645161290322582,120,3.4944670937682005,False,0,0-10 %,2000,2024,3314,96.50553290623179
fdi_net_inflows_pct_gdp,float64,4819,606,11.170506912442397,119,3.4653465346534658,False,0,0-10 %,2000,2024,3315,96.53465346534654
