variable,group
control_of_corruption_estimate,core
current_account_balance_pct_gdp,core
default_previous_10y,core
default_previous_5y,core
electoral_democracy_index,core
exchange_rate_lcu_per_usd,core
exports_growth_pct,core
exports_pct_gdp,core
fdi_net_inflows_pct_gdp,core
fiscal_balance_pct_gdp,core
gdp_growth_pct,core
gdp_per_capita_constant_2015_usd,core
gdp_per_capita_ppp_constant_2021_intl_usd,core
gdp_ppp_constant_2021_intl_usd,core
government_change_dummy,core
government_changes_previous_5y,core
government_debt_pct_gdp,core
government_effectiveness_estimate,core
government_expenditure_pct_gdp,core
government_revenue_pct_gdp,core
gross_savings_pct_gdp,core
imports_pct_gdp,core
inflation_cpi_pct,core
investment_pct_gdp,core
net_interest_payments_pct_gdp,core
never_default_history_dummy,core
political_stability_estimate,core
primary_balance_pct_gdp,core
regulatory_quality_estimate,core
reserves_months_imports,core
rule_of_law_estimate,core
sovereign_debt_in_default_usd_mn,core
sovereign_default_dummy,core
trade_openness_pct_gdp,core
unemployment_pct,core
voice_accountability_estimate,core
years_since_last_default,core
global_competitiveness_index,excluded
head_of_government,excluded
armed_conflict_dummy,extended
average_government_duration_since_2000,extended
bank_npl_pct_gross_loans,extended
battle_related_deaths,extended
external_debt_pct_gni,extended
external_debt_service_pct_exports,extended
external_debt_stocks_current_usd,extended
fragile_states_index,extended
head_of_government_tenure_years,extended
log_battle_related_deaths,extended
real_interest_rate_pct,extended
reserves_pct_external_debt,extended
short_term_debt_pct_reserves,extended
