variable,importance
rating_score_mean_t,20.846446968333417
years_since_last_default,1.8778610866225147
gdp_per_capita_constant_2015_usd,1.071412908913714
region_Europe & Central Asia,0.7111915630651602
income_level_Lower middle income,0.6217856384485612
gdp_ppp_constant_2021_intl_usd,0.6159063121322058
income_level_Upper middle income,0.47776977617499244
regulatory_quality_estimate,0.39895871351721296
missingindicator_inflation_cpi_pct,0.39241610485196626
government_debt_pct_gdp,0.3506346603409774
default_previous_10y,0.34100723220349227
"region_Middle East, North Africa, Afghanistan & Pakistan",0.2948495843270535
region_Sub-Saharan Africa,0.2823144194843887
inflation_abs,0.27564695758911767
region_Latin America & Caribbean,0.2696291402152314
government_changes_previous_5y,0.23389104460077217
gdp_per_capita_ppp_constant_2021_intl_usd,0.20627993566377426
income_level_Low income,0.19739429035972672
missingindicator_fiscal_balance_pct_gdp,0.19730148678481135
political_stability_estimate,0.1856004792596478
missingindicator_real_interest_rate_change,0.17989850075488972
fragile_states_index,0.1586446375806245
reserves_months_imports,0.1569254266185621
inflation_3y_std,0.156801310217543
current_account_3y_mean,0.14576264164605773
missingindicator_fragile_states_index,0.14557454100074818
missingindicator_unemployment_pct,0.13256300164144152
government_expenditure_3y_mean,0.13028380290825284
fiscal_balance_3y_mean,0.12502145080830412
imports_pct_gdp,0.11960519967000235
missingindicator_exports_pct_gdp,0.11289454932835011
inflation_cpi_pct,0.10161981265915035
missingindicator_investment_pct_gdp,0.0972463493826968
government_debt_3y_change,0.09638202154253976
missingindicator_real_interest_rate_5y_mean,0.08847900165208115
exports_pct_gdp,0.08673624937017603
exports_growth_pct,0.08531823750512602
exports_growth_3y_std,0.08231632993276408
government_expenditure_pct_gdp,0.08188741178977572
exports_contraction_dummy,0.08152605157206609
control_of_corruption_estimate,0.0800450420580054
real_interest_rate_5y_mean,0.07876595117727483
missingindicator_head_of_government_tenure_years,0.07604334832458404
fiscal_balance_pct_gdp,0.07314420901121314
government_effectiveness_estimate,0.06623333085491082
primary_balance_3y_mean,0.06436009301050849
gross_savings_pct_gdp,0.06033916157063286
real_interest_rate_change,0.05814117843547897
average_government_duration_since_2000,0.055692258561656424
never_default_history_dummy,0.055672389877222096
region_North America,0.055178939400930306
missingindicator_inflation_3y_std,0.055132184332034796
missingindicator_average_government_duration_since_2000,0.05280874132705653
missingindicator_primary_balance_pct_gdp,0.05039693161064085
primary_deficit_dummy,0.04962063131885981
head_of_government_tenure_years,0.047908027283487996
missingindicator_fdi_net_inflows_pct_gdp,0.04695979428878054
missingindicator_electoral_democracy_index,0.045453846168550416
missingindicator_gdp_per_capita_constant_2015_usd,0.04071448360397769
persistent_current_account_deficit,0.04065996938628691
exports_growth_3y_mean,0.0396088782905714
missingindicator_unemployment_change,0.03651640114505925
voice_accountability_estimate,0.03447603901992149
region_South Asia,0.03386542681761053
gdp_growth_3y_std,0.03235243893042232
rule_of_law_estimate,0.029838488327245827
government_debt_change,0.029739884292957486
government_expenditure_change,0.028832575846293906
fdi_net_inflows_pct_gdp,0.02674213956135667
missingindicator_fiscal_balance_3y_mean,0.026712480696886188
sovereign_debt_in_default_usd_mn,0.02654880554946648
government_change_dummy,0.02494428262181849
missingindicator_current_account_balance_pct_gdp,0.023673173944720082
sovereign_default_dummy,0.022188943635512427
missingindicator_gdp_ppp_constant_2021_intl_usd,0.021825353436616002
fiscal_deficit_dummy,0.021290769804340658
missingindicator_exports_growth_3y_mean,0.02092810155972713
current_account_deficit_dummy,0.017847370286888875
missingindicator_primary_balance_3y_mean,0.017718365830470796
unemployment_pct,0.016979265962615807
missingindicator_exports_growth_pct,0.01634131079703991
missingindicator_government_debt_change,0.015608758854969129
government_revenue_change,0.014550294477500936
missingindicator_gross_savings_pct_gdp,0.014171008014871945
missingindicator_real_interest_rate_pct,0.01375698804310288
electoral_democracy_index,0.01308056143234424
real_interest_rate_3y_std,0.012681138806398873
missingindicator_gdp_growth_pct,0.010016340440339744
gdp_growth_3y_mean,0.00960037761363377
current_account_balance_pct_gdp,0.009541568976110493
missingindicator_current_account_3y_mean,0.009298130598609355
missingindicator_government_expenditure_change,0.008881127542465306
missingindicator_control_of_corruption_estimate,0.0026675791708572925
missingindicator_government_revenue_change,0.002611775101091518
high_inflation_dummy,0.0012778204890168787
missingindicator_gdp_growth_3y_mean,-0.0018257133431385463
missingindicator_government_debt_3y_change,-0.0020261024684768312
investment_pct_gdp,-0.002241855662957648
missingindicator_government_debt_pct_gdp,-0.002668695657997211
gdp_growth_pct,-0.0027946523344799966
missingindicator_political_stability_estimate,-0.00449685760667482
missingindicator_voice_accountability_estimate,-0.0045418628902566425
primary_balance_pct_gdp,-0.004607962716626335
real_interest_rate_pct,-0.005245563734713787
missingindicator_rule_of_law_estimate,-0.0070197422841412616
recession_dummy,-0.007130701036864706
missingindicator_real_interest_rate_3y_std,-0.007335545602467563
missingindicator_reserves_months_imports,-0.015416572268257923
negative_real_interest_dummy,-0.0202987828302706
unemployment_change,-0.023758366068406624
persistent_deficit_dummy,-0.024493152912163297
default_previous_5y,-0.03273162205441773
