iso3,year,global_competitiveness_index
AGO,2010,2.93
AGO,2011,2.96
AGO,2013,3.15
AGO,2014,3.04
ALB,2007,3.48
ALB,2008,3.55
ALB,2009,3.72
ALB,2010,3.94
ALB,2011,4.06
ALB,2012,3.91
ALB,2013,3.85
ALB,2014,3.84
ALB,2015,3.93
ALB,2016,4.06
ALB,2017,4.18
ARE,2007,4.5
ARE,2008,4.68
ARE,2009,4.92
ARE,2010,4.89
ARE,2011,4.89
ARE,2012,5.07
ARE,2013,5.11
ARE,2014,5.33
ARE,2015,5.24
ARE,2016,5.26
ARE,2017,5.3
ARG,2007,3.87
ARG,2008,3.87
ARG,2009,3.91
ARG,2010,3.95
ARG,2011,3.99
ARG,2012,3.87
ARG,2013,3.76
ARG,2014,3.79
ARG,2015,3.79
ARG,2016,3.81
ARG,2017,3.95
ARM,2007,3.76
ARM,2008,3.73
ARM,2009,3.71
ARM,2010,3.76
ARM,2011,3.89
ARM,2012,4.02
ARM,2013,4.1
ARM,2014,4.01
ARM,2015,4.01
ARM,2016,4.07
ARM,2017,4.19
AUS,2007,5.17
AUS,2008,5.2
AUS,2009,5.15
AUS,2010,5.11
AUS,2011,5.11
AUS,2012,5.12
AUS,2013,5.09
AUS,2014,5.08
AUS,2015,5.15
AUS,2016,5.19
AUS,2017,5.19
AUT,2007,5.23
AUT,2008,5.23
AUT,2009,5.13
AUT,2010,5.09
AUT,2011,5.14
AUT,2012,5.22
AUT,2013,5.15
AUT,2014,5.16
AUT,2015,5.12
AUT,2016,5.22
AUT,2017,5.25
AZE,2007,4.07
AZE,2008,4.1
AZE,2009,4.3
AZE,2010,4.29
AZE,2011,4.31
AZE,2012,4.41
AZE,2013,4.51
AZE,2014,4.53
AZE,2015,4.5
AZE,2016,4.55
AZE,2017,4.69
BDI,2007,2.84
BDI,2008,2.98
BDI,2009,2.58
BDI,2010,2.96
BDI,2011,2.95
BDI,2012,2.78
BDI,2013,2.92
BDI,2014,3.09
BDI,2015,3.11
BDI,2016,3.06
BDI,2017,3.21
BEL,2007,5.1
BEL,2008,5.14
BEL,2009,5.09
BEL,2010,5.07
BEL,2011,5.2
BEL,2012,5.21
BEL,2013,5.13
BEL,2014,5.18
BEL,2015,5.2
BEL,2016,5.25
BEL,2017,5.23
BEN,2007,3.49
BEN,2008,3.56
BEN,2009,3.56
BEN,2010,3.69
BEN,2011,3.78
BEN,2012,3.61
BEN,2013,3.45
BEN,2015,3.55
BEN,2016,3.47
BEN,2017,3.47
BFA,2007,3.43
BFA,2008,3.36
BFA,2009,3.23
BFA,2010,3.2
BFA,2011,3.25
BFA,2012,3.34
BFA,2013,3.21
BFA,2014,3.21
BGD,2007,3.55
BGD,2008,3.51
BGD,2009,3.55
BGD,2010,3.64
BGD,2011,3.73
BGD,2012,3.65
BGD,2013,3.71
BGD,2014,3.72
BGD,2015,3.76
BGD,2016,3.8
BGD,2017,3.91
BGR,2007,3.93
BGR,2008,4.03
BGR,2009,4.02
BGR,2010,4.13
BGR,2011,4.16
BGR,2012,4.27
BGR,2013,4.31
BGR,2014,4.37
BGR,2015,4.32
BGR,2016,4.44
BGR,2017,4.46
BHR,2007,4.42
BHR,2008,4.57
BHR,2009,4.54
BHR,2010,4.54
BHR,2011,4.54
BHR,2012,4.63
BHR,2013,4.45
BHR,2014,4.48
BHR,2015,4.52
BHR,2016,4.47
BHR,2017,4.54
BIH,2007,3.55
BIH,2008,3.56
BIH,2009,3.53
BIH,2010,3.7
BIH,2011,3.83
BIH,2012,3.93
BIH,2013,4.02
BIH,2015,3.71
BIH,2016,3.8
BIH,2017,3.87
BLZ,2011,3.52
BOL,2007,3.55
BOL,2008,3.42
