entity_source,entity_slug,agency,rating_date_raw,rating_raw,source_url
Argentina,argentina,Fitch,0000-00-00,B- (Stable),https://countryeconomy.com/ratings/argentina
Armenia,armenia,Fitch,0000-00-00,BB- (Stable),https://countryeconomy.com/ratings/armenia
Austria,austria,Fitch,0000-00-00,AA (Stable),https://countryeconomy.com/ratings/austria
Azerbaijan,azerbaijan,Fitch,0000-00-00,BBB- (Stable),https://countryeconomy.com/ratings/azerbaijan
Bahrain,bahrain,Fitch,0000-00-00,B (Stable),https://countryeconomy.com/ratings/bahrain
Bangladesh,bangladesh,Fitch,0000-00-00,B+ (Stable),https://countryeconomy.com/ratings/bangladesh
Barbados,barbados,Fitch,0000-00-00,B+ (Stable),https://countryeconomy.com/ratings/barbados
Belgium,belgium,Fitch,0000-00-00,A+ (Stable),https://countryeconomy.com/ratings/belgium
Bolivia,bolivia,Fitch,0000-00-00,CCC,https://countryeconomy.com/ratings/bolivia
Brazil,brazil,Fitch,0000-00-00,BB (Stable),https://countryeconomy.com/ratings/brazil
Bulgaria,bulgaria,Fitch,0000-00-00,BBB+ (Stable),https://countryeconomy.com/ratings/bulgaria
Cabo Verde,cabo-verde,Fitch,0000-00-00,B (Stable),https://countryeconomy.com/ratings/cabo-verde
China,china,Fitch,0000-00-00,A (Stable),https://countryeconomy.com/ratings/china
Colombia,colombia,Fitch,0000-00-00,BB (Stable),https://countryeconomy.com/ratings/colombia
Costa Rica,costa-rica,Fitch,0000-00-00,BB (Stable),https://countryeconomy.com/ratings/costa-rica
Croatia,croatia,Fitch,0000-00-00,A- (Stable),https://countryeconomy.com/ratings/croatia
Cyprus,cyprus,Fitch,0000-00-00,A- (Stable),https://countryeconomy.com/ratings/cyprus
Côte d'Ivoire,ivory-coast,Fitch,0000-00-00,BB (Stable),https://countryeconomy.com/ratings/ivory-coast
Ecuador,ecuador,Fitch,0000-00-00,B- (Stable),https://countryeconomy.com/ratings/ecuador
Egypt,egypt,Fitch,0000-00-00,B (Stable),https://countryeconomy.com/ratings/egypt
El Salvador,el-salvador,Fitch,0000-00-00,B- (Stable),https://countryeconomy.com/ratings/el-salvador
Estonia,estonia,Fitch,0000-00-00,A+ (Stable),https://countryeconomy.com/ratings/estonia
Ethiopia,ethiopia,Fitch,0000-00-00,RD,https://countryeconomy.com/ratings/ethiopia
Finland,finland,Fitch,0000-00-00,AA (Stable),https://countryeconomy.com/ratings/finland
France,france,Fitch,0000-00-00,A+ (Stable),https://countryeconomy.com/ratings/france
Gabon,gabon,Fitch,0000-00-00,CCC-,https://countryeconomy.com/ratings/gabon
Ghana,ghana,Fitch,0000-00-00,B (Positive),https://countryeconomy.com/ratings/ghana
Greece,greece,Fitch,0000-00-00,BBB (Stable),https://countryeconomy.com/ratings/greece
Guatemala,guatemala,Fitch,0000-00-00,BB+ (Stable),https://countryeconomy.com/ratings/guatemala
Iceland,iceland,Fitch,0000-00-00,A+ (Stable),https://countryeconomy.com/ratings/iceland
Ireland,ireland,Fitch,0000-00-00,AA (Stable),https://countryeconomy.com/ratings/ireland
Israel,israel,Fitch,0000-00-00,A (Negative),https://countryeconomy.com/ratings/israel
Italy,italy,Fitch,0000-00-00,BBB+ (Stable),https://countryeconomy.com/ratings/italy
