iso3,entity_source,observations,agencies,first_date,last_date
ABW,Aruba,13,Moody's | S&P,2010-11-02,2025-03-24
BMU,Bermuda,2,Moody's,2013-05-16,2014-05-19
CYM,Cayman Islands,1,Moody's,1997-12-16,1997-12-16
TCD,Chad,1,S&P,2024-10-28,2024-10-28
SWZ,Eswatini,5,Moody's,2017-10-27,2024-11-25
GIN,Guinea,1,S&P,2025-09-18,2025-09-18
IMN,Isle of Man,13,Moody's | S&P,1997-12-16,2023-10-27
KGZ,Kyrgyz Republic,10,Moody's | S&P,2015-12-09,2025-07-11
MAC,"Macao SAR, China",12,Moody's,1997-11-03,2023-12-06
MDG,Madagascar,3,S&P,2022-04-11,2025-10-17
NER,Niger,4,Moody's,2019-08-06,2024-02-09
PRI,Puerto Rico (US),1,S&P,2015-08-03,2015-08-03
SLB,Solomon Islands,2,Moody's,2015-11-26,2021-10-08
TJK,Tajikistan,9,Moody's | S&P,2017-08-28,2024-09-26
TZA,Tanzania,4,Moody's,2018-03-02,2024-03-22
TGO,Togo,6,Moody's | S&P,2019-06-01,2025-04-18
