country_source,country_slug,country_url
Albania,albania,https://countryeconomy.com/ratings/albania
Andorra,andorra,https://countryeconomy.com/ratings/andorra
Angola,angola,https://countryeconomy.com/ratings/angola
Argentina,argentina,https://countryeconomy.com/ratings/argentina
Armenia,armenia,https://countryeconomy.com/ratings/armenia
Australia,australia,https://countryeconomy.com/ratings/australia
Austria,austria,https://countryeconomy.com/ratings/austria
Azerbaijan,azerbaijan,https://countryeconomy.com/ratings/azerbaijan
Bahamas,bahamas,https://countryeconomy.com/ratings/bahamas
Bahrain,bahrain,https://countryeconomy.com/ratings/bahrain
Bangladesh,bangladesh,https://countryeconomy.com/ratings/bangladesh
Barbados,barbados,https://countryeconomy.com/ratings/barbados
Belarus,belarus,https://countryeconomy.com/ratings/belarus
Belgium,belgium,https://countryeconomy.com/ratings/belgium
Belize,belize,https://countryeconomy.com/ratings/belize
Benin,benin,https://countryeconomy.com/ratings/benin
Bolivia,bolivia,https://countryeconomy.com/ratings/bolivia
Bosnia and Herzegovina,bosnia-herzegovina,https://countryeconomy.com/ratings/bosnia-herzegovina
Botswana,botswana,https://countryeconomy.com/ratings/botswana
Brazil,brazil,https://countryeconomy.com/ratings/brazil
Bulgaria,bulgaria,https://countryeconomy.com/ratings/bulgaria
Burkina Faso,burkina-faso,https://countryeconomy.com/ratings/burkina-faso
Cabo Verde,cabo-verde,https://countryeconomy.com/ratings/cabo-verde
Cambodia,cambodia,https://countryeconomy.com/ratings/cambodia
Cameroon,cameroon,https://countryeconomy.com/ratings/cameroon
Canada,canada,https://countryeconomy.com/ratings/canada
Chile,chile,https://countryeconomy.com/ratings/chile
China,china,https://countryeconomy.com/ratings/china
Colombia,colombia,https://countryeconomy.com/ratings/colombia
Costa Rica,costa-rica,https://countryeconomy.com/ratings/costa-rica
Croatia,croatia,https://countryeconomy.com/ratings/croatia
Cuba,cuba,https://countryeconomy.com/ratings/cuba
Cyprus,cyprus,https://countryeconomy.com/ratings/cyprus
Czechia,czech-republic,https://countryeconomy.com/ratings/czech-republic
Côte d'Ivoire,ivory-coast,https://countryeconomy.com/ratings/ivory-coast
Democratic Republic of the Congo,democratic-republic-congo,https://countryeconomy.com/ratings/democratic-republic-congo
Denmark,denmark,https://countryeconomy.com/ratings/denmark
Dominican Republic,dominican-republic,https://countryeconomy.com/ratings/dominican-republic
Ecuador,ecuador,https://countryeconomy.com/ratings/ecuador
Egypt,egypt,https://countryeconomy.com/ratings/egypt
El Salvador,el-salvador,https://countryeconomy.com/ratings/el-salvador
Estonia,estonia,https://countryeconomy.com/ratings/estonia
Ethiopia,ethiopia,https://countryeconomy.com/ratings/ethiopia
Fiji,fiji,https://countryeconomy.com/ratings/fiji
Finland,finland,https://countryeconomy.com/ratings/finland
France,france,https://countryeconomy.com/ratings/france
Gabon,gabon,https://countryeconomy.com/ratings/gabon
Georgia,georgia,https://countryeconomy.com/ratings/georgia
Germany,germany,https://countryeconomy.com/ratings/germany
Ghana,ghana,https://countryeconomy.com/ratings/ghana
Greece,greece,https://countryeconomy.com/ratings/greece
Grenada,grenada,https://countryeconomy.com/ratings/grenada
Guatemala,guatemala,https://countryeconomy.com/ratings/guatemala
Honduras,honduras,https://countryeconomy.com/ratings/honduras
Hong Kong,hong-kong,https://countryeconomy.com/ratings/hong-kong
Hungary,hungary,https://countryeconomy.com/ratings/hungary
Iceland,iceland,https://countryeconomy.com/ratings/iceland
India,india,https://countryeconomy.com/ratings/india
Indonesia,indonesia,https://countryeconomy.com/ratings/indonesia
Iran,iran,https://countryeconomy.com/ratings/iran
Iraq,iraq,https://countryeconomy.com/ratings/iraq
Ireland,ireland,https://countryeconomy.com/ratings/ireland
Israel,israel,https://countryeconomy.com/ratings/israel
Italy,italy,https://countryeconomy.com/ratings/italy
Jamaica,jamaica,https://countryeconomy.com/ratings/jamaica
Japan,japan,https://countryeconomy.com/ratings/japan
Jordan,jordan,https://countryeconomy.com/ratings/jordan
Kazakhstan,kazakhstan,https://countryeconomy.com/ratings/kazakhstan
Kenya,kenya,https://countryeconomy.com/ratings/kenya
Kuwait,kuwait,https://countryeconomy.com/ratings/kuwait
Laos,laos,https://countryeconomy.com/ratings/laos
Latvia,latvia,https://countryeconomy.com/ratings/latvia
Lebanon,lebanon,https://countryeconomy.com/ratings/lebanon
Lesotho,lesotho,https://countryeconomy.com/ratings/lesotho
Libya,libya,https://countryeconomy.com/ratings/libya
Liechtenstein,liechtenstein,https://countryeconomy.com/ratings/liechtenstein
Lithuania,lithuania,https://countryeconomy.com/ratings/lithuania
Luxembourg,luxembourg,https://countryeconomy.com/ratings/luxembourg
Malawi,malawi,https://countryeconomy.com/ratings/malawi
Malaysia,malaysia,https://countryeconomy.com/ratings/malaysia
Maldives,maldivas,https://countryeconomy.com/ratings/maldivas
Mali,mali,https://countryeconomy.com/ratings/mali
Malta,malta,https://countryeconomy.com/ratings/malta
Mauritius,mauritius,https://countryeconomy.com/ratings/mauritius
Mexico,mexico,https://countryeconomy.com/ratings/mexico
Moldova,moldova,https://countryeconomy.com/ratings/moldova
Mongolia,mongolia,https://countryeconomy.com/ratings/mongolia
Montenegro,montenegro,https://countryeconomy.com/ratings/montenegro
Morocco,morocco,https://countryeconomy.com/ratings/morocco
Mozambique,mozambique,https://countryeconomy.com/ratings/mozambique
Namibia,namibia,https://countryeconomy.com/ratings/namibia
Netherlands,netherlands,https://countryeconomy.com/ratings/netherlands
New Zealand,new-zealand,https://countryeconomy.com/ratings/new-zealand
Nicaragua,nicaragua,https://countryeconomy.com/ratings/nicaragua
Nigeria,nigeria,https://countryeconomy.com/ratings/nigeria
North Macedonia,macedonia,https://countryeconomy.com/ratings/macedonia
Norway,norway,https://countryeconomy.com/ratings/norway
Oman,oman,https://countryeconomy.com/ratings/oman
Pakistan,pakistan,https://countryeconomy.com/ratings/pakistan
Panama,panama,https://countryeconomy.com/ratings/panama
Papua New Guinea,papua-new-guinea,https://countryeconomy.com/ratings/papua-new-guinea
Paraguay,paraguay,https://countryeconomy.com/ratings/paraguay
Peru,peru,https://countryeconomy.com/ratings/peru
Philippines,philippines,https://countryeconomy.com/ratings/philippines
