iso3,year,indicator_code,variable,value
ABW,2000,VC.BTL.DETH,battle_related_deaths,
ABW,2001,VC.BTL.DETH,battle_related_deaths,
ABW,2002,VC.BTL.DETH,battle_related_deaths,
ABW,2003,VC.BTL.DETH,battle_related_deaths,
ABW,2004,VC.BTL.DETH,battle_related_deaths,
ABW,2005,VC.BTL.DETH,battle_related_deaths,
ABW,2006,VC.BTL.DETH,battle_related_deaths,
ABW,2007,VC.BTL.DETH,battle_related_deaths,
ABW,2008,VC.BTL.DETH,battle_related_deaths,
ABW,2009,VC.BTL.DETH,battle_related_deaths,
ABW,2010,VC.BTL.DETH,battle_related_deaths,
ABW,2011,VC.BTL.DETH,battle_related_deaths,
ABW,2012,VC.BTL.DETH,battle_related_deaths,
ABW,2013,VC.BTL.DETH,battle_related_deaths,
ABW,2014,VC.BTL.DETH,battle_related_deaths,
ABW,2015,VC.BTL.DETH,battle_related_deaths,
ABW,2016,VC.BTL.DETH,battle_related_deaths,
ABW,2017,VC.BTL.DETH,battle_related_deaths,
ABW,2018,VC.BTL.DETH,battle_related_deaths,
ABW,2019,VC.BTL.DETH,battle_related_deaths,
ABW,2020,VC.BTL.DETH,battle_related_deaths,
ABW,2021,VC.BTL.DETH,battle_related_deaths,
ABW,2022,VC.BTL.DETH,battle_related_deaths,
ABW,2023,VC.BTL.DETH,battle_related_deaths,
ABW,2024,VC.BTL.DETH,battle_related_deaths,
AFG,2000,VC.BTL.DETH,battle_related_deaths,5235.0
AFG,2001,VC.BTL.DETH,battle_related_deaths,5055.0
AFG,2002,VC.BTL.DETH,battle_related_deaths,890.0
AFG,2003,VC.BTL.DETH,battle_related_deaths,687.0
AFG,2004,VC.BTL.DETH,battle_related_deaths,715.0
AFG,2005,VC.BTL.DETH,battle_related_deaths,1595.0
AFG,2006,VC.BTL.DETH,battle_related_deaths,4750.0
AFG,2007,VC.BTL.DETH,battle_related_deaths,6911.0
AFG,2008,VC.BTL.DETH,battle_related_deaths,5552.0
AFG,2009,VC.BTL.DETH,battle_related_deaths,6341.0
AFG,2010,VC.BTL.DETH,battle_related_deaths,6864.0
AFG,2011,VC.BTL.DETH,battle_related_deaths,7403.0
AFG,2012,VC.BTL.DETH,battle_related_deaths,7721.0
AFG,2013,VC.BTL.DETH,battle_related_deaths,8056.0
AFG,2014,VC.BTL.DETH,battle_related_deaths,12284.0
AFG,2015,VC.BTL.DETH,battle_related_deaths,17303.0
AFG,2016,VC.BTL.DETH,battle_related_deaths,17985.0
AFG,2017,VC.BTL.DETH,battle_related_deaths,19014.0
AFG,2018,VC.BTL.DETH,battle_related_deaths,25676.0
AFG,2019,VC.BTL.DETH,battle_related_deaths,29940.0
AFG,2020,VC.BTL.DETH,battle_related_deaths,20475.0
AFG,2021,VC.BTL.DETH,battle_related_deaths,35787.0
AFG,2022,VC.BTL.DETH,battle_related_deaths,917.0
AFG,2023,VC.BTL.DETH,battle_related_deaths,237.0
AFG,2024,VC.BTL.DETH,battle_related_deaths,260.0
AGO,2000,VC.BTL.DETH,battle_related_deaths,946.0
AGO,2001,VC.BTL.DETH,battle_related_deaths,1123.0
AGO,2002,VC.BTL.DETH,battle_related_deaths,521.0
AGO,2003,VC.BTL.DETH,battle_related_deaths,25.0
AGO,2004,VC.BTL.DETH,battle_related_deaths,25.0
AGO,2005,VC.BTL.DETH,battle_related_deaths,
AGO,2006,VC.BTL.DETH,battle_related_deaths,
AGO,2007,VC.BTL.DETH,battle_related_deaths,25.0
AGO,2008,VC.BTL.DETH,battle_related_deaths,
AGO,2009,VC.BTL.DETH,battle_related_deaths,25.0
AGO,2010,VC.BTL.DETH,battle_related_deaths,
AGO,2011,VC.BTL.DETH,battle_related_deaths,
AGO,2012,VC.BTL.DETH,battle_related_deaths,
AGO,2013,VC.BTL.DETH,battle_related_deaths,
AGO,2014,VC.BTL.DETH,battle_related_deaths,
AGO,2015,VC.BTL.DETH,battle_related_deaths,
AGO,2016,VC.BTL.DETH,battle_related_deaths,25.0
AGO,2017,VC.BTL.DETH,battle_related_deaths,25.0
AGO,2018,VC.BTL.DETH,battle_related_deaths,
AGO,2019,VC.BTL.DETH,battle_related_deaths,25.0
AGO,2020,VC.BTL.DETH,battle_related_deaths,21.0
AGO,2021,VC.BTL.DETH,battle_related_deaths,
AGO,2022,VC.BTL.DETH,battle_related_deaths,20.0
AGO,2023,VC.BTL.DETH,battle_related_deaths,
AGO,2024,VC.BTL.DETH,battle_related_deaths,25.0
ALB,2000,VC.BTL.DETH,battle_related_deaths,
ALB,2001,VC.BTL.DETH,battle_related_deaths,
ALB,2002,VC.BTL.DETH,battle_related_deaths,
ALB,2003,VC.BTL.DETH,battle_related_deaths,
ALB,2004,VC.BTL.DETH,battle_related_deaths,
ALB,2005,VC.BTL.DETH,battle_related_deaths,
ALB,2006,VC.BTL.DETH,battle_related_deaths,
ALB,2007,VC.BTL.DETH,battle_related_deaths,
ALB,2008,VC.BTL.DETH,battle_related_deaths,
ALB,2009,VC.BTL.DETH,battle_related_deaths,
ALB,2010,VC.BTL.DETH,battle_related_deaths,
ALB,2011,VC.BTL.DETH,battle_related_deaths,
ALB,2012,VC.BTL.DETH,battle_related_deaths,
ALB,2013,VC.BTL.DETH,battle_related_deaths,
ALB,2014,VC.BTL.DETH,battle_related_deaths,
ALB,2015,VC.BTL.DETH,battle_related_deaths,
ALB,2016,VC.BTL.DETH,battle_related_deaths,
ALB,2017,VC.BTL.DETH,battle_related_deaths,
ALB,2018,VC.BTL.DETH,battle_related_deaths,
ALB,2019,VC.BTL.DETH,battle_related_deaths,
ALB,2020,VC.BTL.DETH,battle_related_deaths,
ALB,2021,VC.BTL.DETH,battle_related_deaths,
ALB,2022,VC.BTL.DETH,battle_related_deaths,
ALB,2023,VC.BTL.DETH,battle_related_deaths,
ALB,2024,VC.BTL.DETH,battle_related_deaths,
AND,2000,VC.BTL.DETH,battle_related_deaths,
AND,2001,VC.BTL.DETH,battle_related_deaths,
AND,2002,VC.BTL.DETH,battle_related_deaths,
AND,2003,VC.BTL.DETH,battle_related_deaths,
AND,2004,VC.BTL.DETH,battle_related_deaths,
AND,2005,VC.BTL.DETH,battle_related_deaths,
AND,2006,VC.BTL.DETH,battle_related_deaths,
AND,2007,VC.BTL.DETH,battle_related_deaths,
AND,2008,VC.BTL.DETH,battle_related_deaths,
AND,2009,VC.BTL.DETH,battle_related_deaths,
AND,2010,VC.BTL.DETH,battle_related_deaths,
AND,2011,VC.BTL.DETH,battle_related_deaths,
AND,2012,VC.BTL.DETH,battle_related_deaths,
AND,2013,VC.BTL.DETH,battle_related_deaths,
AND,2014,VC.BTL.DETH,battle_related_deaths,
AND,2015,VC.BTL.DETH,battle_related_deaths,
AND,2016,VC.BTL.DETH,battle_related_deaths,
AND,2017,VC.BTL.DETH,battle_related_deaths,
AND,2018,VC.BTL.DETH,battle_related_deaths,
AND,2019,VC.BTL.DETH,battle_related_deaths,
AND,2020,VC.BTL.DETH,battle_related_deaths,
AND,2021,VC.BTL.DETH,battle_related_deaths,
AND,2022,VC.BTL.DETH,battle_related_deaths,
AND,2023,VC.BTL.DETH,battle_related_deaths,
AND,2024,VC.BTL.DETH,battle_related_deaths,
ARE,2000,VC.BTL.DETH,battle_related_deaths,
ARE,2001,VC.BTL.DETH,battle_related_deaths,
ARE,2002,VC.BTL.DETH,battle_related_deaths,
ARE,2003,VC.BTL.DETH,battle_related_deaths,
ARE,2004,VC.BTL.DETH,battle_related_deaths,
ARE,2005,VC.BTL.DETH,battle_related_deaths,
ARE,2006,VC.BTL.DETH,battle_related_deaths,
ARE,2007,VC.BTL.DETH,battle_related_deaths,
ARE,2008,VC.BTL.DETH,battle_related_deaths,
ARE,2009,VC.BTL.DETH,battle_related_deaths,
ARE,2010,VC.BTL.DETH,battle_related_deaths,
