iso3,year,indicator_code,variable,value
ABW,2000,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
ABW,2000,FR.INR.RINR,real_interest_rate_pct,10.9174500760991
ABW,2001,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
ABW,2001,FR.INR.RINR,real_interest_rate_pct,15.885948876168
ABW,2002,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
ABW,2002,FR.INR.RINR,real_interest_rate_pct,6.57378500312943
ABW,2003,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
ABW,2003,FR.INR.RINR,real_interest_rate_pct,7.42457507462851
ABW,2004,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
ABW,2004,FR.INR.RINR,real_interest_rate_pct,6.60450953637949
ABW,2005,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
ABW,2005,FR.INR.RINR,real_interest_rate_pct,5.64637297616821
ABW,2006,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
ABW,2006,FR.INR.RINR,real_interest_rate_pct,5.81310509823675
ABW,2007,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
ABW,2007,FR.INR.RINR,real_interest_rate_pct,4.97600231726435
ABW,2008,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
ABW,2008,FR.INR.RINR,real_interest_rate_pct,5.9825479431511
ABW,2009,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
ABW,2009,FR.INR.RINR,real_interest_rate_pct,8.84604657019821
ABW,2010,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
ABW,2010,FR.INR.RINR,real_interest_rate_pct,11.6661307585963
ABW,2011,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
ABW,2011,FR.INR.RINR,real_interest_rate_pct,4.80197433814387
ABW,2012,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
ABW,2012,FR.INR.RINR,real_interest_rate_pct,8.20087500684476
ABW,2013,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
ABW,2013,FR.INR.RINR,real_interest_rate_pct,10.7097087655441
ABW,2014,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
ABW,2014,FR.INR.RINR,real_interest_rate_pct,6.37347496737642
ABW,2015,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
